pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
15488,SystemSettingsBroker.exe,0.0,5.16MB,5.89KB,188.00B,running,2021-03-17 17:37:43,32,13,4
17428,conhost.exe,0.0,5.68MB,0.00B,0.00B,running,2021-03-17 17:45:40,32,4,4
10880,chrome.exe,0.0,5.75MB,65.72KB,46.67KB,running,2021-03-17 17:04:20,64,12,4
5700,svchost.exe,0.0,5.81MB,997.72KB,6.76MB,running,2021-03-16 22:19:44,32,4,4
8152,RuntimeBroker.exe,0.0,5.98MB,4.74MB,568.00B,running,2021-03-16 22:20:37,32,17,4
17192,brave.exe,0.0,6.19MB,53.27KB,84.05KB,running,2021-03-17 17:03:55,64,13,4
10484,chrome.exe,0.0,6.46MB,2.24MB,3.40MB,running,2021-03-17 13:12:16,64,14,4
8928,chrome.exe,0.0,6.88MB,1.22MB,1.39MB,running,2021-03-17 13:41:05,64,14,4
6712,Teams.exe,0.0,6.99MB,39.07MB,59.94MB,running,2021-03-16 22:22:35,32,9,4
8408,brave.exe,0.0,7.17MB,27.46MB,84.21MB,running,2021-03-17 11:07:37,32,13,4
14208,chrome.exe,0.0,7.21MB,1.96MB,2.30MB,running,2021-03-17 13:20:55,64,14,4
3828,sihost.exe,0.0,7.33MB,1.59MB,896.00B,running,2021-03-16 22:19:44,32,8,4
5860,chrome.exe,0.0,7.58MB,2.69MB,6.34MB,running,2021-03-17 13:35:33,64,14,4
16076,brave.exe,0.0,7.68MB,339.14KB,122.27KB,running,2021-03-17 17:01:07,64,13,4
9752,ApplicationFrameHost.exe,0.0,7.75MB,37.90KB,0.00B,running,2021-03-16 22:27:05,32,4,4
5988,svchost.exe,0.6,8.11MB,6.83GB,41.23MB,running,2021-03-16 22:19:44,32,10,4
17004,RdrCEF.exe,0.0,8.14MB,16.58MB,2.29MB,running,2021-03-17 16:42:49,32,20,4
6752,AcroRd32.exe,0.0,8.18MB,95.20MB,96.45MB,running,2021-03-17 16:55:22,32,5,4
1772,AcroRd32.exe,0.0,8.73MB,2.13MB,0.00B,running,2021-03-17 16:42:45,32,10,4
14940,chrome.exe,0.0,8.99MB,594.38KB,633.88KB,running,2021-03-17 15:13:17,64,14,4
17812,Teams.exe,0.0,9.14MB,23.46KB,15.34KB,running,2021-03-17 17:44:39,32,13,4
12168,LockApp.exe,0.0,9.82MB,42.42KB,0.00B,stopped,2021-03-16 22:32:00,32,13,4
